TV_Budget,Radio_Budget,SocialMedia_Budget,Is_Holiday,Sales,Region_EU,Region_LatAm
146.5,101.59,181.48,0,982.82,0,0
161.86,70.93,91.73,1,746.99,0,1
49.48,58.56,215.86,0,633.8,1,0
182.77,93.17,78.49,0,1005.19,0,1
84.25,64.99,193.34,0,719.77,0,0
297.43,53.59,127.09,0,1292.86,0,0
103.03,62.01,114.24,0,627.91,0,1
138.73,15.15,109.3,1,606.19,0,0
59.1,141.48,122.23,0,934.85,1,0
148.14,45.62,81.62,0,580.24,0,1
150.2206197600939,24.65,119.87336369400884,0,654.02,0,0
55.24,12.86,18.65,0,280.92,0,1
186.88,80.62,185.83,0,918.24,0,0
23.18,75.66599493375894,199.17,0,465.36,0,0
47.96,89.2,70.51,0,609.78,0,1
246.37,54.49,78.51,0,1088.54,1,0
66.82,111.95,54.46,1,749.72,0,0
72.59,131.97,66.98,0,842.3,1,0
276.29,44.62,119.87336369400884,0,1180.9,0,0
78.41,75.66599493375894,165.78,0,567.19,0,1
50.41,93.59,73.32,0,638.5,1,0
216.99,91.73,105.7,0,1131.31,0,0
271.75,57.43,23.59,0,1206.37,0,1
193.94,117.11,94.18,0,990.1,0,0
129.67,50.29,38.72,0,689.42,1,0
73.36,77.4,123.18,0,573.92,0,0
94.18,48.8,57.63,0,486.43,0,0
50.45,55.26,30.71,0,437.05,0,1
125.38,75.97,19.48,0,760.71,0,0
150.2206197600939,33.92,101.45,0,855.15,1,0
148.84,75.66599493375894,48.43,0,731.23,0,1
92.68,73.71,99.92,0,622.28,0,0
190.92,44.39,247.07,0,826.71,0,1
175.4,81.53,57.95,0,749.39,0,0
128.19,137.44,118.68,0,1032.64,0,1
100.55,148.54,69.36,1,995.24,0,0
166.93,75.63,63.54,1,917.75,0,0
128.84,130.65,123.61,1,1021.43,1,0
68.8,33.14,70.01,1,444.11,0,0
114.87,101.03,234.16,0,951.56,1,0
111.72,148.72,248.72,0,1211.04,0,0
154.6,130.62,132.32,0,1027.21,0,0
150.2206197600939,119.64,179.49,0,1010.7,1,0
128.46,86.25,89.93,0,791.14,1,0
215.74,64.65,100.79,0,1033.62,1,0
98.17,64.29,102.94,0,607.1,1,0
289.46,61.47,64.58,0,1259.12,1,0
157.68,75.66599493375894,40.17,1,751.59,0,0
107.23,46.42,222.05,0,670.35,1,0
203.31,75.66599493375894,109.1,0,1076.42,0,0
61.55,93.65,97.22,0,594.03,1,0
247.45,92.86,41.03,0,1236.16,0,0
209.34,94.76,116.53,0,1128.64,0,0
61.11,114.01,107.46,1,832.13,1,0
236.62,99.93,94.58,1,1263.47,0,1
139.89,78.94,112.11,1,815.46,0,0
138.22,99.27,204.81,0,991.7,0,0
55.91,25.15,38.12,0,337.24,1,0
150.2206197600939,71.84,106.84,0,1203.98,0,0
94.34,19.33,31.77,0,458.31,0,1
183.62,109.35,142.69,0,1014.17,1,0
77.38,68.67,221.17,0,741.93,0,0
81.25,28.64,21.71,0,414.8,0,0
134.58,69.1,142.97,0,753.22,0,0
142.09,26.76,198.97,0,608.24,0,0
286.55,43.42,123.96,0,1207.23,1,0
141.43,99.16,72.33,0,918.62,0,0
204.53,68.69,90.3,0,1021.53,0,1
87.38,97.53,75.02,0,715.4,0,0
83.13,67.51,74.33,0,591.4,1,0
87.4,63.87,30.79,0,600.74,1,0
25.62,101.9,104.92,0,685.37,0,1
150.2206197600939,75.66599493375894,177.34,0,927.5,1,0
63.94,75.66599493375894,198.88,0,595.33,0,0
22.85,83.79,65.59,0,549.67,1,0
32.46,29.27,242.02,0,504.72,0,0
154.07,92.78,19.78,0,934.85,0,0
29.42,82.73,161.05,0,653.95,0,0
150.56,41.38,173.48,0,659.0,0,0
66.01,104.1,144.87,0,807.49,0,1
226.65,78.15,119.87336369400884,0,1140.82,1,0
298.0,72.53,88.46,0,1346.93,0,0
185.61,62.5,54.09,1,946.53,0,1
214.9,23.08,54.03,0,862.83,1,0
86.76,15.75,63.02,0,404.77,0,1
145.82,26.6,35.78,0,659.22,0,0
139.56,70.72,19.95,0,766.07,0,0
122.22,75.76,148.69,0,759.25,0,1
86.15,56.34,124.85,0,537.79,1,0
107.63,91.34,73.22,1,766.24,0,0
246.93,28.85,50.91,0,1038.3,0,0
66.93,55.82,99.75,0,489.03,0,1
75.25,81.06,55.37,0,599.78,0,0
209.64,77.28,133.81,0,1067.27,1,0
61.07,65.45,102.18,1,580.53,1,0
201.1,82.91,47.41,0,1065.42,0,0
268.91,14.56,123.35,0,1037.92,0,0
213.95,91.64,133.09,1,1132.03,1,0
298.4938,71.74,157.51,1,653.24,0,1
290.17,68.35,12.01,0,1305.82,0,0
150.2206197600939,23.7,248.21,1,650.87,0,1
234.82,86.32,148.03,1,1201.16,0,0
89.38,71.95,153.07,0,691.78,0,0
74.27,75.12,154.53,0,692.77,0,1
66.3,67.58,142.64,0,649.4,0,1
181.95,100.56,208.84,0,1029.6,0,0
188.57,57.32,52.85,0,904.07,0,1
298.4938,34.61,130.3,0,1165.18,0,0
138.77,84.58,139.08,0,851.15,1,0
295.89,98.19,46.22,0,1450.59,1,0
210.48,77.49,29.59,0,1053.58,0,0
189.93,72.42,158.46,1,876.15,0,0
215.67,94.86,18.57,0,1134.28,0,1
130.04,106.87,101.82,0,856.55,0,1
150.42,60.76,97.13,0,666.22,1,0
119.47,59.2,106.8,0,683.5,0,1
276.63,81.15,17.6,0,1284.39,1,0
127.47,30.46,63.9,0,456.17,0,0
34.95,73.6,235.4,0,733.15,0,1
58.47,43.23,21.57,0,403.45,0,0
291.34,151.22609405554186,55.83,0,1210.47,0,1
78.34,101.18,194.35,0,839.56,1,0
115.43,64.34,242.44,0,810.13,0,0
275.07,62.85,47.71,0,1251.98,1,0
120.4,71.11,146.59,0,713.52,0,1
198.67,22.91,125.73,0,586.02,1,0
86.21,62.91,239.58,0,723.12,1,0
151.13,84.38,59.98,0,727.76,0,0
150.2206197600939,86.44,115.76,0,609.04,0,0
172.87,21.58,57.3,0,757.74,0,1
119.78,148.84,218.6,1,1210.2,0,0
239.38,81.78,119.87336369400884,0,1141.68,0,0
184.61,83.61,218.55,1,984.24,1,0
46.73,27.58,222.75,1,528.93,0,0
60.77,12.25,141.38,0,306.04,1,0
72.39,116.71,120.35,1,838.34,1,0
256.68,75.57,137.45,0,1208.08,0,0
112.77,113.52,234.66,1,1049.22,1,0
129.36,72.87,59.22,0,646.76,0,0
120.9,137.06,140.39,1,1064.22,0,0
134.6,108.26,121.19,0,904.08,0,0
189.77,126.68,63.77,0,995.2,1,0
25.03,151.22609405554186,71.21,0,802.74,0,0
276.29,78.79,63.53,1,1310.35,1,0
97.23,41.25,20.87,1,585.91,0,0
150.2206197600939,66.9,68.39,0,1164.64,0,0
171.9,140.15,121.09,0,1113.71,0,0
51.06,38.32,171.27,1,530.22,0,0
190.0,94.46,204.63,0,1009.96,0,0
211.06,95.81,25.66,0,1158.33,0,0
82.6,109.97,120.93,0,828.45,0,0
133.78,83.14,98.87,0,783.67,0,0
282.57,42.89,105.36,0,1181.62,0,1
168.25,96.78,102.77,1,1036.05,0,0
49.19,116.76,238.08,0,959.96,0,0
214.89,77.5,105.79,0,1066.94,1,0
167.49,64.21,54.75,0,854.43,0,0
119.03,96.8,209.08,0,914.08,0,1
145.83,106.22,246.6,0,1061.39,1,0
123.16,75.66599493375894,119.86,0,581.19,0,0
104.5,66.95,104.1,0,649.43,0,1
199.74,95.47,226.7,0,1066.88,0,1
95.56,71.69,54.02,0,574.48,0,1
171.84,24.68,86.84,0,741.01,0,0
20.62,55.52,200.55,1,600.33,0,1
106.97,78.59,133.59,0,700.64,0,1
175.92,29.54,243.2,0,736.72,1,0
134.77,70.27,222.87,1,855.26,0,0
150.2206197600939,75.66599493375894,38.58,0,739.52,0,0
78.76,125.08,123.83,0,887.61,0,0
155.74,92.58,92.42,1,945.82,1,0
150.2206197600939,48.14,93.48,0,395.69,0,0
173.41,21.07,169.33,0,592.89,0,1
79.69,23.94,203.27,0,499.94,0,1
196.99,73.52,133.98,0,983.76,0,0
74.83,125.77,170.03,0,941.06,0,0
166.07,121.32,206.63,1,1128.38,0,0
80.49,76.19,134.23,0,666.91,1,0
128.8,41.41,31.08,0,625.7,0,0
62.13,80.2,53.12,0,530.07,1,0
37.96,55.47,220.97,1,624.36,0,1
64.24,141.39,136.71,1,1003.88,0,0
132.06,48.71,119.87336369400884,1,643.06,0,1
90.56,24.47,36.22,1,485.15,0,1
118.87,58.69,95.33,0,697.04,0,1
82.56,88.6,70.15,1,675.03,0,0
36.88,65.09,109.25,0,526.52,0,0
25.27,28.53,241.88,0,496.68,0,0
256.7,41.59,74.96,1,1090.75,0,0
130.54,56.36,128.97,0,663.13,0,0
123.23,89.36,60.78,0,788.29,1,0
32.77,62.85,82.2,0,498.61,0,1
244.26,20.25,18.86,0,975.3,0,0
142.63,37.55,90.73,1,686.98,0,0
56.23,75.66599493375894,135.46,0,432.96,0,0
122.61,12.78,102.24,0,529.4,0,0
232.81,55.83,139.42,0,1029.33,0,0
184.39,60.83,126.87,1,764.19,1,0
236.26,89.0,88.56,0,1186.89,0,1
91.82,43.93,148.26,0,555.07,0,0
106.58,20.37,142.83,0,485.79,0,1
192.68,75.66599493375894,17.07,0,1015.59,0,0
278.98,75.66599493375894,100.43,1,1201.5,0,0
51.54,42.99,119.87336369400884,1,432.06,0,0
134.7,63.23,11.62,0,730.34,0,1
150.2206197600939,75.66,147.32,0,777.52,0,0
54.11,94.48,66.6,0,585.59,0,0
136.02,112.38,145.19,1,958.14,0,0
150.2206197600939,109.51,87.79,0,780.3,1,0
139.72,24.85,98.43,1,511.64,1,0
137.81,36.28,182.61,0,621.89,0,0
97.39,26.63,147.72,0,447.8,1,0
120.0,87.45,119.87336369400884,1,789.48,0,0
184.64,76.97,186.16,0,911.09,0,0
100.13,56.28,59.69,1,647.26,0,0
164.03,60.52,58.64,1,657.13,0,1
153.87,58.84,248.7223,0,613.18,0,0
298.4938,117.35,155.87,0,963.39,0,1
123.51,58.46,224.32,0,767.17,0,0
183.11,99.57,55.17,0,1006.69,0,1
254.91,78.9,139.41,0,1228.24,0,1
146.22,60.94,115.36,1,698.55,0,0
234.98,17.64,124.82,0,901.12,0,0
107.72,98.32,121.93,0,782.04,0,0
