Region,TV_Budget,Radio_Budget,SocialMedia_Budget,Is_Holiday,Sales
Asia,146.5,101.59,181.48,0,982.82
LatAm,161.86,70.93,91.73,1,746.99
EU,49.48,58.56,215.86,0,633.8
LatAm,182.77,93.17,78.49,0,1005.19
NA,84.25,64.99,193.34,0,719.77
Asia,297.43,53.59,127.09,0,1292.86
LatAm,103.03,62.01,114.24,0,627.91
NA,138.73,15.15,109.3,1,606.19
EU,59.1,141.48,122.23,0,934.85
LatAm,148.14,45.62,81.62,0,580.24
Asia,,24.65,,0,654.02
LatAm,55.24,12.86,18.65,0,280.92
NA,186.88,80.62,185.83,0,918.24
Asia,23.18,,199.17,0,465.36
LatAm,47.96,89.2,70.51,0,609.78
EU,246.37,54.49,78.51,0,1088.54
Asia,66.82,111.95,54.46,1,749.72
EU,72.59,131.97,66.98,0,842.3
NA,276.29,44.62,,0,1180.9
LatAm,78.41,,165.78,0,567.19
EU,50.41,93.59,73.32,0,638.5
NA,216.99,91.73,105.7,0,1131.31
LatAm,271.75,57.43,23.59,0,1206.37
NA,193.94,117.11,94.18,0,990.1
EU,129.67,50.29,38.72,0,689.42
NA,73.36,77.4,123.18,0,573.92
Asia,94.18,48.8,57.63,0,486.43
LatAm,50.45,55.26,30.71,0,437.05
NA,125.38,75.97,19.48,0,760.71
EU,,33.92,101.45,0,855.15
LatAm,148.84,,48.43,0,731.23
Asia,92.68,73.71,99.92,0,622.28
LatAm,190.92,44.39,247.07,0,826.71
Asia,175.4,81.53,57.95,0,749.39
LatAm,128.19,137.44,118.68,0,1032.64
NA,100.55,148.54,69.36,1,995.24
NA,166.93,75.63,63.54,1,917.75
EU,128.84,130.65,123.61,1,1021.43
Asia,68.8,33.14,70.01,1,444.11
EU,114.87,101.03,234.16,0,951.56
NA,111.72,148.72,248.72,0,1211.04
Asia,154.6,130.62,132.32,0,1027.21
EU,,119.64,179.49,0,1010.7
EU,128.46,86.25,89.93,0,791.14
EU,215.74,64.65,100.79,0,1033.62
EU,98.17,64.29,102.94,0,607.1
EU,289.46,61.47,64.58,0,1259.12
Asia,157.68,,40.17,1,751.59
EU,107.23,46.42,222.05,0,670.35
Asia,203.31,,109.1,0,1076.42
EU,61.55,93.65,97.22,0,594.03
NA,247.45,92.86,41.03,0,1236.16
NA,209.34,94.76,116.53,0,1128.64
EU,61.11,114.01,107.46,1,832.13
LatAm,236.62,99.93,94.58,1,1263.47
NA,139.89,78.94,112.11,1,815.46
Asia,138.22,99.27,204.81,0,991.7
EU,55.91,25.15,38.12,0,337.24
Asia,,71.84,106.84,0,1203.98
LatAm,94.34,19.33,31.77,0,458.31
EU,183.62,109.35,142.69,0,1014.17
NA,77.38,68.67,221.17,0,741.93
Asia,81.25,28.64,21.71,0,414.8
NA,134.58,69.1,142.97,0,753.22
NA,142.09,26.76,198.97,0,608.24
EU,286.55,43.42,123.96,0,1207.23
