Degree,Train RMSE,Test RMSE,Generalization Gap
1,0.717741131883189,0.7058060795722795,-0.011935052310909522
2,0.6648151051029653,0.6056518152755964,-0.05916328982736885
3,0.6461579978059359,0.5513813357288103,-0.09477666207712554
4,0.3529421621742761,0.3240838097884044,-0.0288583523858717
5,0.33391013648966755,0.3196645559114073,-0.014245580578260253
6,0.290403400857791,0.29717857872566816,0.00677517786787718
7,0.28682916677811726,0.31045832643653154,0.023629159658414278
8,0.2864598038697388,0.3117364434851465,0.025276639615407714
9,0.282106380405501,0.3111104379659315,0.029004057560430507
10,0.2819792089397358,0.3107662088373218,0.028786999897585985
11,0.28113766341561436,0.3124828915388723,0.03134522812325796
12,0.28118247406892993,0.31202230870988845,0.03083983464095852
13,0.2844114716427792,0.31399140762954664,0.029579935986767447
14,0.3297445486750522,0.35159576831430595,0.02185121963925374
15,0.36561010533409816,0.3632769733314019,-0.0023331320026962477
16,0.4305076516706203,0.3409263640934726,-0.08958128757714767
17,0.42804740211660114,0.3492610353216575,-0.07878636679494366
18,0.4251635525080567,0.3527276700496622,-0.0724358824583945
